Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Tamarind,2021-10-01,Kg,140,150,145,10,5,1
Bamboo Shoot,2021-10-01,Kg,90,100,95,10,5,1
Tofu,2021-10-01,Kg,90,100,95,10,5,1
Gundruk,2021-10-01,Kg,150,200,175,50,25,1
Apple(Fuji),2021-10-01,KG,230,250,240,20,10,1
Banana,2021-10-01,Doz,90,100,95,10,5,1
Lime,2021-10-01,Kg,180,200,190,20,10,1
Pomegranate,2021-10-01,Kg,320,350,335,30,15,1
Orange(Indian),2021-10-01,Kg,120,130,125,10,5,1
Water Melon(Green),2021-10-01,Kg,55,60,57,5,2,1
Sweet Orange,2021-10-01,Kg,120,130,125,10,5,1
Pineapple,2021-10-01,1 Pc,160,170,165,10,5,1
Cucumber(Local),2021-10-01,Kg,50,60,55,10,5,1
Cucumber(Hybrid),2021-10-01,KG,20,30,25,10,5,1
Lemon,2021-10-01,Kg,40,50,45,10,5,1
Pear(Local),2021-10-01,Kg,60,70,65,10,5,1
Pear(Chinese),2021-10-01,Kg,200,220,210,20,10,1
Papaya(Indian),2021-10-01,Kg,80,90,85,10,5,1
Guava,2021-10-01,Kg,100,120,110,20,10,1
Mombin,2021-10-01,Kg,50,60,55,10,5,1
Kiwi,2021-10-01,Kg,300,400,350,100,50,1
Ginger,2021-10-01,Kg,50,60,55,10,5,1
Chilli Dry,2021-10-01,Kg,300,320,310,20,10,1
Chilli Green,2021-10-01,Kg,40,50,45,10,5,1
Chilli Green(Bullet),2021-10-01,KG,90,100,95,10,5,1
Chilli Green(Machhe),2021-10-01,KG,90,100,95,10,5,1
Chilli Green(Akbare),2021-10-01,KG,150,200,175,50,25,1
Capsicum,2021-10-01,Kg,160,180,170,20,10,1
Garlic Green,2021-10-01,Kg,300,350,325,50,25,1
Coriander Green,2021-10-01,Kg,200,250,225,50,25,1
Garlic Dry Chinese,2021-10-01,Kg,230,250,240,20,10,1
Garlic Dry Nepali,2021-10-01,Kg,180,200,190,20,10,1
Clive Dry,2021-10-01,Kg,280,300,290,20,10,1
Clive Green,2021-10-01,Kg,140,150,145,10,5,1
Fish Fresh(Rahu),2021-10-01,KG,270,280,275,10,5,1
Fish Fresh(Bachuwa),2021-10-01,KG,225,235,230,10,5,1
Fish Fresh(Chhadi),2021-10-01,KG,220,230,225,10,5,1
Fish Fresh(Mungari),2021-10-01,KG,240,250,245,10,5,1
Tomato Big(Indian),2021-10-02,Kg,60,70,65,10,5,2
Tomato Small(Local),2021-10-02,Kg,40,50,45,10,5,2
Tomato Small(Tunnel),2021-10-02,Kg,50,60,55,10,5,2
Potato Red,2021-10-02,Kg,55,60,57,5,2,2
Potato Red(Indian),2021-10-02,KG,28,30,29,2,1,2
Potato Red(Mude),2021-10-02,Kg,58,60,59,2,1,2
Potato White,2021-10-02,Kg,45,46,45,1,0,2
Onion Dry (Indian),2021-10-02,Kg,55,60,57,5,2,2
Carrot(Local),2021-10-02,Kg,130,140,135,10,5,2
Carrot(Terai),2021-10-02,Kg,90,100,95,10,5,2
Cabbage(Local),2021-10-02,Kg,20,30,25,10,5,2
Cauli Local,2021-10-02,Kg,80,100,90,20,10,2
Raddish Red,2021-10-02,Kg,40,50,45,10,5,2
Raddish White(Local),2021-10-02,Kg,25,30,27,5,2,2
Raddish White(Hybrid),2021-10-02,Kg,30,35,32,5,2,2
Brinjal Long,2021-10-02,Kg,40,50,45,10,5,2
Brinjal Round,2021-10-02,Kg,50,60,55,10,5,2
Cow pea(Long),2021-10-02,Kg,120,140,130,20,10,2
Cowpea(Short),2021-10-02,Kg,110,120,115,10,5,2
Green Peas,2021-10-02,Kg,220,250,235,30,15,2
French Bean(Local),2021-10-02,Kg,90,100,95,10,5,2
French Bean(Hybrid),2021-10-02,Kg,80,90,85,10,5,2
Sword Bean,2021-10-02,Kg,150,200,175,50,25,2
Soyabean Green,2021-10-02,Kg,60,80,70,20,10,2
Bitter Gourd,2021-10-02,Kg,80,100,90,20,10,2
Bottle Gourd,2021-10-02,Kg,40,50,45,10,5,2
Pointed Gourd(Local),2021-10-02,Kg,100,110,105,10,5,2
Pointed Gourd(Terai),2021-10-02,Kg,90,100,95,10,5,2
Snake Gourd,2021-10-02,Kg,40,50,45,10,5,2
Smooth Gourd,2021-10-02,Kg,90,100,95,10,5,2
Sponge Gourd,2021-10-02,Kg,80,90,85,10,5,2
Pumpkin,2021-10-02,Kg,35,40,37,5,2,2
Squash(Round),2021-10-02,Kg,20,30,25,10,5,2
Turnip,2021-10-02,Kg,90,100,95,10,5,2
Okara,2021-10-02,Kg,50,60,55,10,5,2
Sweet Potato,2021-10-02,Kg,80,90,85,10,5,2
Barela,2021-10-02,Kg,140,150,145,10,5,2
Arum,2021-10-02,Kg,40,50,45,10,5,2
Christophine,2021-10-02,Kg,15,20,17,5,2,2
Brd Leaf Mustard,2021-10-02,Kg,150,160,155,10,5,2
Spinach Leaf,2021-10-02,Kg,150,160,155,10,5,2
Cress Leaf,2021-10-02,Kg,180,200,190,20,10,2
Mustard Leaf,2021-10-02,Kg,70,80,75,10,5,2
Fenugreek Leaf,2021-10-02,Kg,250,300,275,50,25,2
Onion Green,2021-10-02,Kg,180,200,190,20,10,2
Mushroom(Kanya),2021-10-02,Kg,220,250,235,30,15,2
Mushroom(Button),2021-10-02,KG,300,350,325,50,25,2
Asparagus,2021-10-02,Kg,900,1000,950,100,50,2
Neuro,2021-10-02,Kg,90,100,95,10,5,2
Brocauli,2021-10-02,Kg,250,300,275,50,25,2
Sugarbeet,2021-10-02,Kg,70,80,75,10,5,2
Drumstick,2021-10-02,Kg,180,200,190,20,10,2
Red Cabbbage,2021-10-02,Kg,280,300,290,20,10,2
Lettuce,2021-10-02,Kg,800,900,850,100,50,2
Celery,2021-10-02,Kg,500,600,550,100,50,2
Fennel Leaf,2021-10-02,Kg,280,300,290,20,10,2
Mint,2021-10-02,Kg,900,1000,950,100,50,2
Turnip A,2021-10-02,Kg,80,90,85,10,5,2
Tamarind,2021-10-02,Kg,140,150,145,10,5,2
Bamboo Shoot,2021-10-02,Kg,90,100,95,10,5,2
Tofu,2021-10-02,Kg,90,100,95,10,5,2
Gundruk,2021-10-02,Kg,150,200,175,50,25,2
Apple(Jholey),2021-10-02,Kg,150,160,155,10,5,2
Apple(Fuji),2021-10-02,KG,220,250,235,30,15,2
Banana,2021-10-02,Doz,90,100,95,10,5,2
Lime,2021-10-02,Kg,180,200,190,20,10,2
Pomegranate,2021-10-02,Kg,300,350,325,50,25,2
Orange(Indian),2021-10-02,Kg,130,140,135,10,5,2
Water Melon(Green),2021-10-02,Kg,55,60,57,5,2,2
Sweet Orange,2021-10-02,Kg,130,140,135,10,5,2
Pineapple,2021-10-02,1 Pc,160,170,165,10,5,2
Cucumber(Local),2021-10-02,Kg,40,50,45,10,5,2
Cucumber(Hybrid),2021-10-02,KG,20,25,22,5,2,2
Lemon,2021-10-02,Kg,40,50,45,10,5,2
Pear(Local),2021-10-02,Kg,50,60,55,10,5,2
Pear(Chinese),2021-10-02,Kg,200,220,210,20,10,2
Papaya(Nepali),2021-10-02,Kg,40,50,45,10,5,2
Papaya(Indian),2021-10-02,Kg,80,90,85,10,5,2
Guava,2021-10-02,Kg,100,120,110,20,10,2
Mombin,2021-10-02,Kg,40,50,45,10,5,2
Kiwi,2021-10-02,Kg,300,400,350,100,50,2
Ginger,2021-10-02,Kg,50,60,55,10,5,2
Chilli Dry,2021-10-02,Kg,300,320,310,20,10,2
Chilli Green,2021-10-02,Kg,40,50,45,10,5,2
Chilli Green(Bullet),2021-10-02,KG,100,110,105,10,5,2
Chilli Green(Machhe),2021-10-02,KG,90,100,95,10,5,2
Chilli Green(Akbare),2021-10-02,KG,150,200,175,50,25,2
Capsicum,2021-10-02,Kg,150,160,155,10,5,2
Garlic Green,2021-10-02,Kg,300,350,325,50,25,2
Coriander Green,2021-10-02,Kg,200,250,225,50,25,2
Garlic Dry Chinese,2021-10-02,Kg,240,260,250,20,10,2
Garlic Dry Nepali,2021-10-02,Kg,190,200,195,10,5,2
Clive Dry,2021-10-02,Kg,280,300,290,20,10,2
Clive Green,2021-10-02,Kg,180,200,190,20,10,2
Fish Fresh(Rahu),2021-10-02,KG,270,280,275,10,5,2
Fish Fresh(Bachuwa),2021-10-02,KG,225,235,230,10,5,2
Fish Fresh(Chhadi),2021-10-02,KG,220,230,225,10,5,2
Fish Fresh(Mungari),2021-10-02,KG,240,250,245,10,5,2
Tomato Big(Nepali),2021-10-03,Kg,60,70,65,10,5,3
Tomato Big(Indian),2021-10-03,Kg,60,70,65,10,5,3
Tomato Small(Local),2021-10-03,Kg,40,50,45,10,5,3
Tomato Small(Tunnel),2021-10-03,Kg,50,60,55,10,5,3
Potato Red,2021-10-03,Kg,55,60,57,5,2,3
Potato Red(Indian),2021-10-03,KG,28,30,29,2,1,3
Potato Red(Mude),2021-10-03,Kg,58,60,59,2,1,3
Potato White,2021-10-03,Kg,45,46,45,1,0,3
Onion Dry (Indian),2021-10-03,Kg,55,60,57,5,2,3
Carrot(Local),2021-10-03,Kg,130,150,140,20,10,3
Carrot(Terai),2021-10-03,Kg,90,100,95,10,5,3
Cabbage(Local),2021-10-03,Kg,30,40,35,10,5,3
Cauli Local,2021-10-03,Kg,80,100,90,20,10,3
Raddish Red,2021-10-03,Kg,40,50,45,10,5,3
Raddish White(Local),2021-10-03,Kg,25,30,27,5,2,3
Raddish White(Hybrid),2021-10-03,Kg,30,35,32,5,2,3
Brinjal Long,2021-10-03,Kg,40,50,45,10,5,3
Brinjal Round,2021-10-03,Kg,50,60,55,10,5,3
Cow pea(Long),2021-10-03,Kg,120,140,130,20,10,3
Cowpea(Short),2021-10-03,Kg,90,100,95,10,5,3
French Bean(Local),2021-10-03,Kg,90,100,95,10,5,3
French Bean(Hybrid),2021-10-03,Kg,80,90,85,10,5,3
Sword Bean,2021-10-03,Kg,150,200,175,50,25,3
Soyabean Green,2021-10-03,Kg,60,70,65,10,5,3
Bitter Gourd,2021-10-03,Kg,90,100,95,10,5,3
Bottle Gourd,2021-10-03,Kg,50,60,55,10,5,3
Pointed Gourd(Local),2021-10-03,Kg,90,100,95,10,5,3
Pointed Gourd(Terai),2021-10-03,Kg,80,90,85,10,5,3
Snake Gourd,2021-10-03,Kg,40,50,45,10,5,3
Smooth Gourd,2021-10-03,Kg,90,100,95,10,5,3
Sponge Gourd,2021-10-03,Kg,80,90,85,10,5,3
Pumpkin,2021-10-03,Kg,35,40,37,5,2,3
Squash(Round),2021-10-03,Kg,45,50,47,5,2,3
Turnip,2021-10-03,Kg,90,100,95,10,5,3
Okara,2021-10-03,Kg,50,60,55,10,5,3
Sweet Potato,2021-10-03,Kg,80,90,85,10,5,3
Barela,2021-10-03,Kg,140,160,150,20,10,3
Arum,2021-10-03,Kg,40,50,45,10,5,3
Christophine,2021-10-03,Kg,15,20,17,5,2,3
Brd Leaf Mustard,2021-10-03,Kg,120,140,130,20,10,3
Spinach Leaf,2021-10-03,Kg,130,150,140,20,10,3
Cress Leaf,2021-10-03,Kg,160,180,170,20,10,3
Mustard Leaf,2021-10-03,Kg,70,80,75,10,5,3
Fenugreek Leaf,2021-10-03,Kg,250,300,275,50,25,3
Onion Green,2021-10-03,Kg,180,200,190,20,10,3
Mushroom(Kanya),2021-10-03,Kg,230,250,240,20,10,3
Mushroom(Button),2021-10-03,KG,330,350,340,20,10,3
Asparagus,2021-10-03,Kg,900,1000,950,100,50,3
Neuro,2021-10-03,Kg,90,100,95,10,5,3
Brocauli,2021-10-03,Kg,240,260,250,20,10,3
Sugarbeet,2021-10-03,Kg,70,80,75,10,5,3
Drumstick,2021-10-03,Kg,180,200,190,20,10,3
Red Cabbbage,2021-10-03,Kg,280,300,290,20,10,3
Lettuce,2021-10-03,Kg,800,900,850,100,50,3
Celery,2021-10-03,Kg,500,600,550,100,50,3
Fennel Leaf,2021-10-03,Kg,280,300,290,20,10,3
Mint,2021-10-03,Kg,900,1000,950,100,50,3
Turnip A,2021-10-03,Kg,80,90,85,10,5,3
Tamarind,2021-10-03,Kg,140,150,145,10,5,3
Bamboo Shoot,2021-10-03,Kg,90,100,95,10,5,3
Tofu,2021-10-03,Kg,90,100,95,10,5,3
Gundruk,2021-10-03,Kg,150,200,175,50,25,3
Apple(Jholey),2021-10-03,Kg,150,160,155,10,5,3
Apple(Fuji),2021-10-03,KG,220,250,235,30,15,3
Banana,2021-10-03,Doz,90,100,95,10,5,3
Lime,2021-10-03,Kg,180,200,190,20,10,3
Pomegranate,2021-10-03,Kg,300,350,325,50,25,3
Orange(Indian),2021-10-03,Kg,130,140,135,10,5,3
Water Melon(Green),2021-10-03,Kg,55,60,57,5,2,3
Sweet Orange,2021-10-03,Kg,130,140,135,10,5,3
Pineapple,2021-10-03,1 Pc,160,170,165,10,5,3
Cucumber(Local),2021-10-03,Kg,30,40,35,10,5,3
Cucumber(Hybrid),2021-10-03,KG,20,25,22,5,2,3
Lemon,2021-10-03,Kg,40,50,45,10,5,3
Pear(Local),2021-10-03,Kg,50,60,55,10,5,3
Pear(Chinese),2021-10-03,Kg,200,220,210,20,10,3
Papaya(Nepali),2021-10-03,Kg,40,50,45,10,5,3
Papaya(Indian),2021-10-03,Kg,80,90,85,10,5,3
Guava,2021-10-03,Kg,90,100,95,10,5,3
Mombin,2021-10-03,Kg,40,50,45,10,5,3
Kiwi,2021-10-03,Kg,300,400,350,100,50,3
Ginger,2021-10-03,Kg,50,60,55,10,5,3
Chilli Dry,2021-10-03,Kg,300,320,310,20,10,3
Chilli Green,2021-10-03,Kg,50,60,55,10,5,3
Chilli Green(Bullet),2021-10-03,KG,90,100,95,10,5,3
Chilli Green(Machhe),2021-10-03,KG,90,100,95,10,5,3
Chilli Green(Akbare),2021-10-03,KG,150,200,175,50,25,3
Capsicum,2021-10-03,Kg,150,160,155,10,5,3
Garlic Green,2021-10-03,Kg,300,350,325,50,25,3
Coriander Green,2021-10-03,Kg,200,250,225,50,25,3
Garlic Dry Chinese,2021-10-03,Kg,240,250,245,10,5,3
Garlic Dry Nepali,2021-10-03,Kg,190,200,195,10,5,3
Clive Dry,2021-10-03,Kg,280,300,290,20,10,3
Clive Green,2021-10-03,Kg,180,200,190,20,10,3
Fish Fresh(Rahu),2021-10-03,KG,270,280,275,10,5,3
Fish Fresh(Bachuwa),2021-10-03,KG,225,235,230,10,5,3
Fish Fresh(Chhadi),2021-10-03,KG,220,230,225,10,5,3
Fish Fresh(Mungari),2021-10-03,KG,240,250,245,10,5,3
Tomato Big(Nepali),2021-10-04,Kg,80,90,85,10,5,4
Tomato Big(Indian),2021-10-04,Kg,80,90,85,10,5,4
Tomato Small(Local),2021-10-04,Kg,50,60,55,10,5,4
Tomato Small(Tunnel),2021-10-04,Kg,55,65,60,10,5,4
Potato Red,2021-10-04,Kg,55,58,56,3,1,4
Potato Red(Indian),2021-10-04,KG,26,28,27,2,1,4
Potato Red(Mude),2021-10-04,Kg,45,48,46,3,1,4
Potato White,2021-10-04,Kg,42,44,43,2,1,4
Onion Dry (Indian),2021-10-04,Kg,55,60,57,5,2,4
Carrot(Local),2021-10-04,Kg,130,140,135,10,5,4
Carrot(Terai),2021-10-04,Kg,80,90,85,10,5,4
Cabbage(Local),2021-10-04,Kg,20,30,25,10,5,4
Cauli Local,2021-10-04,Kg,70,90,80,20,10,4
Raddish Red,2021-10-04,Kg,40,50,45,10,5,4
Raddish White(Local),2021-10-04,Kg,20,25,22,5,2,4
Raddish White(Hybrid),2021-10-04,Kg,25,35,30,10,5,4
Brinjal Long,2021-10-04,Kg,40,50,45,10,5,4
Brinjal Round,2021-10-04,Kg,50,60,55,10,5,4
Cow pea(Long),2021-10-04,Kg,120,140,130,20,10,4
Cowpea(Short),2021-10-04,Kg,100,120,110,20,10,4
French Bean(Local),2021-10-04,Kg,80,90,85,10,5,4
French Bean(Hybrid),2021-10-04,Kg,70,80,75,10,5,4
Sword Bean,2021-10-04,Kg,140,160,150,20,10,4
Soyabean Green,2021-10-04,Kg,60,70,65,10,5,4
Bitter Gourd,2021-10-04,Kg,90,100,95,10,5,4
Bottle Gourd,2021-10-04,Kg,40,60,50,20,10,4
Pointed Gourd(Local),2021-10-04,Kg,50,60,55,10,5,4
Pointed Gourd(Terai),2021-10-04,Kg,60,70,65,10,5,4
Snake Gourd,2021-10-04,Kg,40,50,45,10,5,4
Smooth Gourd,2021-10-04,Kg,90,100,95,10,5,4
Sponge Gourd,2021-10-04,Kg,80,90,85,10,5,4
Pumpkin,2021-10-04,Kg,35,40,37,5,2,4
Squash(Round),2021-10-04,Kg,20,30,25,10,5,4
Turnip,2021-10-04,Kg,90,100,95,10,5,4
Okara,2021-10-04,Kg,50,60,55,10,5,4
Sweet Potato,2021-10-04,Kg,90,100,95,10,5,4
Barela,2021-10-04,Kg,110,120,115,10,5,4
Arum,2021-10-04,Kg,40,50,45,10,5,4
Christophine,2021-10-04,Kg,10,20,15,10,5,4
Brd Leaf Mustard,2021-10-04,Kg,100,120,110,20,10,4
Spinach Leaf,2021-10-04,Kg,140,150,145,10,5,4
Cress Leaf,2021-10-04,Kg,180,200,190,20,10,4
Mustard Leaf,2021-10-04,Kg,50,60,55,10,5,4
Fenugreek Leaf,2021-10-04,Kg,250,300,275,50,25,4
Onion Green,2021-10-04,Kg,180,200,190,20,10,4
Mushroom(Kanya),2021-10-04,Kg,220,250,235,30,15,4
Mushroom(Button),2021-10-04,KG,300,350,325,50,25,4
Asparagus,2021-10-04,Kg,900,1000,950,100,50,4
Neuro,2021-10-04,Kg,100,120,110,20,10,4
Brocauli,2021-10-04,Kg,250,300,275,50,25,4
Sugarbeet,2021-10-04,Kg,70,80,75,10,5,4
Red Cabbbage,2021-10-04,Kg,250,300,275,50,25,4
Lettuce,2021-10-04,Kg,700,800,750,100,50,4
Celery,2021-10-04,Kg,400,450,425,50,25,4
Fennel Leaf,2021-10-04,Kg,280,300,290,20,10,4
Mint,2021-10-04,Kg,700,800,750,100,50,4
Turnip A,2021-10-04,Kg,80,90,85,10,5,4
Tamarind,2021-10-04,Kg,140,150,145,10,5,4
Bamboo Shoot,2021-10-04,Kg,90,100,95,10,5,4
Tofu,2021-10-04,Kg,90,100,95,10,5,4
Gundruk,2021-10-04,Kg,150,200,175,50,25,4
Apple(Jholey),2021-10-04,Kg,140,150,145,10,5,4
Apple(Fuji),2021-10-04,KG,240,250,245,10,5,4
Banana,2021-10-04,Doz,90,100,95,10,5,4
Lime,2021-10-04,Kg,180,200,190,20,10,4
Pomegranate,2021-10-04,Kg,300,350,325,50,25,4
Orange(Indian),2021-10-04,Kg,140,150,145,10,5,4
Water Melon(Green),2021-10-04,Kg,50,60,55,10,5,4
Sweet Orange,2021-10-04,Kg,130,140,135,10,5,4
Pineapple,2021-10-04,1 Pc,150,160,155,10,5,4
Cucumber(Local),2021-10-04,Kg,40,50,45,10,5,4
Cucumber(Hybrid),2021-10-04,KG,20,30,25,10,5,4
Lemon,2021-10-04,Kg,40,50,45,10,5,4
Pear(Local),2021-10-04,Kg,60,70,65,10,5,4
Pear(Chinese),2021-10-04,Kg,190,200,195,10,5,4
Papaya(Nepali),2021-10-04,Kg,50,60,55,10,5,4
Papaya(Indian),2021-10-04,Kg,80,90,85,10,5,4
Guava,2021-10-04,Kg,100,120,110,20,10,4
Mombin,2021-10-04,Kg,40,50,45,10,5,4
Kiwi,2021-10-04,Kg,300,400,350,100,50,4
Ginger,2021-10-04,Kg,50,60,55,10,5,4
Chilli Dry,2021-10-04,Kg,300,320,310,20,10,4
Chilli Green,2021-10-04,Kg,50,60,55,10,5,4
Chilli Green(Bullet),2021-10-04,KG,100,110,105,10,5,4
Chilli Green(Machhe),2021-10-04,KG,80,90,85,10,5,4
Chilli Green(Akbare),2021-10-04,KG,150,200,175,50,25,4
Capsicum,2021-10-04,Kg,140,160,150,20,10,4
Garlic Green,2021-10-04,Kg,300,320,310,20,10,4
Coriander Green,2021-10-04,Kg,150,200,175,50,25,4
Garlic Dry Chinese,2021-10-04,Kg,230,250,240,20,10,4
Garlic Dry Nepali,2021-10-04,Kg,200,210,205,10,5,4
Clive Dry,2021-10-04,Kg,280,300,290,20,10,4
Clive Green,2021-10-04,Kg,140,150,145,10,5,4
Fish Fresh(Rahu),2021-10-04,KG,270,280,275,10,5,4
Fish Fresh(Bachuwa),2021-10-04,KG,225,235,230,10,5,4
Fish Fresh(Chhadi),2021-10-04,KG,220,230,225,10,5,4
Fish Fresh(Mungari),2021-10-04,KG,240,250,245,10,5,4
Tomato Big(Nepali),2021-10-05,Kg,90,100,95,10,5,5
Tomato Big(Indian),2021-10-05,Kg,80,90,85,10,5,5
Tomato Small(Local),2021-10-05,Kg,55,65,60,10,5,5
Tomato Small(Tunnel),2021-10-05,Kg,60,70,65,10,5,5
Potato Red,2021-10-05,Kg,55,58,56,3,1,5
Potato Red(Indian),2021-10-05,KG,26,28,27,2,1,5
Potato Red(Mude),2021-10-05,Kg,45,50,47,5,2,5
Potato White,2021-10-05,Kg,42,44,43,2,1,5
Onion Dry (Indian),2021-10-05,Kg,68,70,69,2,1,5
Carrot(Local),2021-10-05,Kg,120,130,125,10,5,5
Carrot(Terai),2021-10-05,Kg,80,90,85,10,5,5
Cabbage(Local),2021-10-05,Kg,20,30,25,10,5,5
Cauli Local,2021-10-05,Kg,50,70,60,20,10,5
Raddish Red,2021-10-05,Kg,40,50,45,10,5,5
Raddish White(Local),2021-10-05,Kg,25,30,27,5,2,5
Raddish White(Hybrid),2021-10-05,Kg,30,35,32,5,2,5
Brinjal Long,2021-10-05,Kg,25,30,27,5,2,5
Brinjal Round,2021-10-05,Kg,50,60,55,10,5,5
Cow pea(Long),2021-10-05,Kg,110,120,115,10,5,5
Cowpea(Short),2021-10-05,Kg,110,120,115,10,5,5
Green Peas,2021-10-05,Kg,280,300,290,20,10,5
French Bean(Local),2021-10-05,Kg,80,100,90,20,10,5
French Bean(Hybrid),2021-10-05,Kg,70,80,75,10,5,5
French Bean(Rajma),2021-10-05,Kg,180,200,190,20,10,5
Sword Bean,2021-10-05,Kg,140,150,145,10,5,5
Soyabean Green,2021-10-05,Kg,70,80,75,10,5,5
Bitter Gourd,2021-10-05,Kg,90,100,95,10,5,5
Bottle Gourd,2021-10-05,Kg,40,50,45,10,5,5
Pointed Gourd(Local),2021-10-05,Kg,60,70,65,10,5,5
Pointed Gourd(Terai),2021-10-05,Kg,50,60,55,10,5,5
Snake Gourd,2021-10-05,Kg,40,50,45,10,5,5
Smooth Gourd,2021-10-05,Kg,80,90,85,10,5,5
Sponge Gourd,2021-10-05,Kg,80,90,85,10,5,5
Pumpkin,2021-10-05,Kg,35,40,37,5,2,5
Squash(Round),2021-10-05,Kg,20,30,25,10,5,5
Turnip,2021-10-05,Kg,90,100,95,10,5,5
Okara,2021-10-05,Kg,40,50,45,10,5,5
Sweet Potato,2021-10-05,Kg,80,90,85,10,5,5
Barela,2021-10-05,Kg,110,120,115,10,5,5
Arum,2021-10-05,Kg,40,50,45,10,5,5
Christophine,2021-10-05,Kg,10,20,15,10,5,5
Brd Leaf Mustard,2021-10-05,Kg,100,120,110,20,10,5
Spinach Leaf,2021-10-05,Kg,120,150,135,30,15,5
Cress Leaf,2021-10-05,Kg,180,200,190,20,10,5
Mustard Leaf,2021-10-05,Kg,50,60,55,10,5,5
Fenugreek Leaf,2021-10-05,Kg,280,300,290,20,10,5
Onion Green,2021-10-05,Kg,150,200,175,50,25,5
Mushroom(Kanya),2021-10-05,Kg,150,200,175,50,25,5
Mushroom(Button),2021-10-05,KG,280,300,290,20,10,5
Asparagus,2021-10-05,Kg,1000,1200,1100,200,100,5
Neuro,2021-10-05,Kg,120,130,125,10,5,5
Brocauli,2021-10-05,Kg,250,300,275,50,25,5
Sugarbeet,2021-10-05,Kg,70,80,75,10,5,5
Red Cabbbage,2021-10-05,Kg,280,300,290,20,10,5
Lettuce,2021-10-05,Kg,700,800,750,100,50,5
Celery,2021-10-05,Kg,450,500,475,50,25,5
Fennel Leaf,2021-10-05,Kg,280,300,290,20,10,5
Mint,2021-10-05,Kg,800,900,850,100,50,5
Turnip A,2021-10-05,Kg,80,90,85,10,5,5
Tamarind,2021-10-05,Kg,140,150,145,10,5,5
Bamboo Shoot,2021-10-05,Kg,90,100,95,10,5,5
Tofu,2021-10-05,Kg,90,100,95,10,5,5
Gundruk,2021-10-05,Kg,200,250,225,50,25,5
Apple(Jholey),2021-10-05,Kg,140,150,145,10,5,5
Apple(Fuji),2021-10-05,KG,250,280,265,30,15,5
Banana,2021-10-05,Doz,90,100,95,10,5,5
Lime,2021-10-05,Kg,180,200,190,20,10,5
Pomegranate,2021-10-05,Kg,300,350,325,50,25,5
Orange(Indian),2021-10-05,Kg,130,140,135,10,5,5
Water Melon(Green),2021-10-05,Kg,50,60,55,10,5,5
Sweet Orange,2021-10-05,Kg,120,130,125,10,5,5
Pineapple,2021-10-05,1 Pc,150,160,155,10,5,5
Cucumber(Local),2021-10-05,Kg,30,40,35,10,5,5
Cucumber(Hybrid),2021-10-05,KG,15,20,17,5,2,5
Lemon,2021-10-05,Kg,40,50,45,10,5,5
Pear(Local),2021-10-05,Kg,60,70,65,10,5,5
Pear(Chinese),2021-10-05,Kg,180,200,190,20,10,5
Papaya(Nepali),2021-10-05,Kg,50,60,55,10,5,5
Papaya(Indian),2021-10-05,Kg,80,90,85,10,5,5
Guava,2021-10-05,Kg,90,100,95,10,5,5
Mombin,2021-10-05,Kg,40,50,45,10,5,5
Kiwi,2021-10-05,Kg,300,400,350,100,50,5
Ginger,2021-10-05,Kg,40,50,45,10,5,5
Chilli Dry,2021-10-05,Kg,300,320,310,20,10,5
Chilli Green,2021-10-05,Kg,50,60,55,10,5,5
Chilli Green(Bullet),2021-10-05,KG,90,110,100,20,10,5
Chilli Green(Machhe),2021-10-05,KG,80,90,85,10,5,5
Chilli Green(Akbare),2021-10-05,KG,150,200,175,50,25,5
Capsicum,2021-10-05,Kg,140,160,150,20,10,5
Garlic Green,2021-10-05,Kg,300,350,325,50,25,5
Coriander Green,2021-10-05,Kg,200,250,225,50,25,5
Garlic Dry Chinese,2021-10-05,Kg,240,250,245,10,5,5
Garlic Dry Nepali,2021-10-05,Kg,180,200,190,20,10,5
Clive Dry,2021-10-05,Kg,280,300,290,20,10,5
Clive Green,2021-10-05,Kg,200,250,225,50,25,5
Fish Fresh(Rahu),2021-10-05,KG,270,280,275,10,5,5
Fish Fresh(Bachuwa),2021-10-05,KG,225,235,230,10,5,5
Fish Fresh(Chhadi),2021-10-05,KG,220,230,225,10,5,5
Fish Fresh(Mungari),2021-10-05,KG,240,250,245,10,5,5
Tomato Big(Nepali),2021-10-06,Kg,90,100,95,10,5,6
Tomato Big(Indian),2021-10-06,Kg,90,100,95,10,5,6
Tomato Small(Local),2021-10-06,Kg,45,55,50,10,5,6
Tomato Small(Tunnel),2021-10-06,Kg,60,70,65,10,5,6
Tomato Small(Indian),2021-10-06,KG,45,50,47,5,2,6
Potato Red,2021-10-06,Kg,55,58,56,3,1,6
Potato Red(Indian),2021-10-06,KG,26,28,27,2,1,6
Potato Red(Mude),2021-10-06,Kg,45,48,46,3,1,6
Potato White,2021-10-06,Kg,42,44,43,2,1,6
Onion Dry (Indian),2021-10-06,Kg,65,68,66,3,1,6
Carrot(Local),2021-10-06,Kg,120,130,125,10,5,6
Carrot(Terai),2021-10-06,Kg,80,90,85,10,5,6
Cabbage(Local),2021-10-06,Kg,10,20,15,10,5,6
Cauli Local,2021-10-06,Kg,70,90,80,20,10,6
Raddish Red,2021-10-06,Kg,40,50,45,10,5,6
Raddish White(Local),2021-10-06,Kg,25,30,27,5,2,6
