Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Mombin,2021-01-12,Kg,30,40,35,10,5,12
Kinnow,2021-01-12,Kg,70,80,75,10,5,12
Strawberry,2021-01-12,Kg,500,600,550,100,50,12
Kiwi,2021-01-12,Kg,220,250,235,30,15,12
Ginger,2021-01-12,Kg,50,60,55,10,5,12
Chilli Dry,2021-01-12,Kg,320,330,325,10,5,12
Chilli Green,2021-01-12,Kg,70,80,75,10,5,12
Chilli Green(Bullet),2021-01-12,KG,80,90,85,10,5,12
Chilli Green(Machhe),2021-01-12,KG,70,80,75,10,5,12
Chilli Green(Akbare),2021-01-12,KG,650,750,700,100,50,12
Capsicum,2021-01-12,Kg,70,80,75,10,5,12
Garlic Green,2021-01-12,Kg,130,140,135,10,5,12
Coriander Green,2021-01-12,Kg,80,100,90,20,10,12
Garlic Dry Chinese,2021-01-12,Kg,190,200,195,10,5,12
Fish Fresh(Rahu),2021-01-12,KG,270,280,275,10,5,12
Fish Fresh(Bachuwa),2021-01-12,KG,200,210,205,10,5,12
Fish Fresh(Chhadi),2021-01-12,KG,200,210,205,10,5,12
Fish Fresh(Mungari),2021-01-12,KG,260,270,265,10,5,12
Tomato Big(Nepali),2021-01-13,Kg,40,50,45,10,5,13
Tomato Big(Indian),2021-01-13,Kg,40,50,45,10,5,13
Tomato Small(Local),2021-01-13,Kg,15,25,20,10,5,13
Tomato Small(Tunnel),2021-01-13,Kg,15,25,20,10,5,13
Tomato Small(Indian),2021-01-13,KG,20,30,25,10,5,13
Tomato Small(Terai),2021-01-13,KG,20,30,25,10,5,13
Potato Red,2021-01-13,Kg,35,40,37,5,2,13
Potato Red(Indian),2021-01-13,KG,30,35,32,5,2,13
Potato White,2021-01-13,Kg,23,26,24,3,1,13
Onion Dry (Indian),2021-01-13,Kg,70,74,72,4,2,13
Carrot(Local),2021-01-13,Kg,80,90,85,10,5,13
Carrot(Terai),2021-01-13,Kg,50,60,55,10,5,13
Cabbage(Local),2021-01-13,Kg,20,30,25,10,5,13
Cabbage(Terai),2021-01-13,Kg,18,25,21,7,3,13
Cabbage,2021-01-13,Kg,25,32,28,7,3,13
Cauli Local,2021-01-13,Kg,20,30,25,10,5,13
Cauli Local(Jyapu),2021-01-13,Kg,25,35,30,10,5,13
Cauli Terai,2021-01-13,Kg,15,25,20,10,5,13
Raddish Red,2021-01-13,Kg,30,40,35,10,5,13
Raddish White(Local),2021-01-13,Kg,10,15,12,5,2,13
Raddish White(Hybrid),2021-01-13,Kg,15,20,17,5,2,13
Brinjal Long,2021-01-13,Kg,30,40,35,10,5,13
Brinjal Round,2021-01-13,Kg,30,40,35,10,5,13
Green Peas,2021-01-13,Kg,30,40,35,10,5,13
