product,date,unit,min_price,max_price,avg_price
cucumber(hybrid),2021-01-09,KG,30.0,40.0,35.0
jack fruit,2021-01-09,Kg,100.0,110.0,105.0
lemon,2021-01-09,Kg,50.0,60.0,55.0
pear(chinese),2021-01-09,Kg,250.0,260.0,255.0
papaya(indian),2021-01-09,Kg,90.0,100.0,95.0
guava,2021-01-09,Kg,100.0,110.0,105.0
mombin,2021-01-09,Kg,30.0,40.0,35.0
kinnow,2021-01-09,Kg,70.0,80.0,75.0
strawberry,2021-01-09,Kg,500.0,550.0,525.0
kiwi,2021-01-09,Kg,220.0,250.0,235.0
ginger,2021-01-09,Kg,50.0,60.0,55.0
chilli dry,2021-01-09,Kg,320.0,330.0,325.0
chilli green,2021-01-09,Kg,80.0,90.0,85.0
chilli green(bullet),2021-01-09,KG,60.0,70.0,65.0
chilli green(machhe),2021-01-09,KG,70.0,80.0,75.0
chilli green(akbare),2021-01-09,KG,650.0,700.0,675.0
capsicum,2021-01-09,Kg,60.0,70.0,65.0
garlic green,2021-01-09,Kg,120.0,140.0,130.0
coriander green,2021-01-09,Kg,80.0,100.0,90.0
garlic dry chinese,2021-01-09,Kg,190.0,200.0,195.0
fish fresh(rahu),2021-01-09,KG,270.0,280.0,275.0
